,Código do Município,Município,Estado,Ano de Referência,Prestadores,ES002 - Quantidade de ligações ativas de esgotos,ES003 - Quantidade de economias ativas de esgotos,ES004 - Extensão da rede de esgotos,ES005 - Volume de esgotos coletado,ES006 - Volume de esgotos tratado,ES007 - Volume de esgotos faturado,ES009 - Quantidade de ligações totais de esgotos,ES026 - População urbana atendida com esgotamento sanitário,FN039 - Despesa com esgoto exportado
1469,"311140,00",Campo Florido,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31114040] PREFEITURA MUNICIPAL DE CAMPO FLORIDO - MG,2724.0,2789.0,30.92,263.06,0.0,329.67,2724.0,5835.0,0.0
1470,"311150,00",Campos Altos,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31115011] Prefeitura Municipal de Campos Altos - PMCA | [31115040] Prefeitura Municipal de Campos Altos - PMCA,6050.0,,82.7,2000.0,0.0,0.0,6150.0,14054.0,0.0
1471,"311160,00",Campos Gerais,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31116011] Prefeitura Municipal de Campos Gerais - PMCG,6200.0,,74.0,1192.66,0.0,0.0,7130.0,19971.0,0.0
1472,"311170,00",Canaã,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31117011] Prefeitura Municipal de Canaã - PMC | [31117040] Prefeitura Municipal de Canaã - PMC,25.0,1905.0,5.5,160.0,0.0,0.0,30.0,1833.0,2200.0
1474,"311190,00",Cana Verde,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31119011] Prefeitura Municipal de Cana Verde - PMCV,1200.0,1200.0,19.7,600.0,500.0,35.0,1200.0,4000.0,0.0
1475,"311200,00",Candeias,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31120011] Prefeitura Municipal de Candeias - PMC | [31120040] PREFEITURA MUNICIPAL DE CANDEIAS - PMC,3381.0,4000.0,55.0,440.0,220.0,0.0,4341.0,10409.0,0.0
1476,"311205,00",Cantagalo,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31120511] Prefeitura Municipal de Cantagalo - PMC | [31120540] Prefeitura Municipal de Cantagalo - PMC,1200.0,1000000.0,5.0,300.0,0.0,0.0,1500.0,2400.0,0.0
1477,"311210,00",Caparaó,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31121011] Prefeitura Municipal de Caparaó - PMC | [31121040] Prefeitura Municipal de Caparaó - pmc,1.0,1200.0,14.0,68.3,0.0,0.0,1000.0,2094.0,0.0
1478,"311220,00",Capela Nova,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31122011] Prefeitura Municipal de Capela Nova - PMCN | [31122040] Prefeitura Municipal de Capela Nova - PMCN,1000.0,1000.0,4.3,38.0,0.0,0.0,1028.0,1900.0,900.0
1479,"311230,00",Capelinha,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31686000] Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A - COPANOR | [31123040] PREFEITURA DE CAPELINHA - PMC,11251.0,,111.11,825.01,0.0,1040.02,11264.0,23985.0,0.0
1480,"311240,00",Capetinga,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31124040] Prefeitura Municipal de Capetinga - PM,241.0,249.0,5.98,20.19,19.73,24.38,241.0,476.0,0.0
1481,"311250,00",Capim Branco,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31125040] Divisão de Meio Ambiente - DMA,847.0,886.0,65.5,71.77,23.87,87.27,847.0,1578.0,0.0
1482,"311260,00",Capinópolis,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31126011] Prefeitura Municipal de Capinópolis - PMC | [31126040] Prefeitura Municipal de Capinópolis - PMC,5825.0,,77.0,640.0,0.0,0.0,5825.0,15000.0,0.0
1483,"311265,00",Capitão Andrade,MG,"2019,00",[31126511] Prefeitura Municipal de Capitão Andrade - PMCA | [31126540] PREFEITURA MUNICIPAL DE CAPITÃO ANDRADE - PREFCA,1558.0,,18.75,204.0,0.0,0.0,1558.0,3967.0,0.0
1484,"311270,00",Capitão Enéas,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31127040] PREFEITURA MUNICIPAL - PMCE,2012.0,2080.0,26.83,144.43,144.43,195.35,2012.0,4987.0,0.0
1485,"311280,00",Capitólio,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31128011] Prefeitura Municipal de Capitólio - PMC | [31128040] Prefeitura Municipal - PMC,3391.0,,51.7,376.0,0.0,0.0,3391.0,6859.0,0.0
1486,"311290,00",Caputira,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31129011] Prefeitura Municipal de Caputira - PMC | [31129040] PREFEITURA MUNICIPAL DE CAPUTIRA - PM,256.0,,5.5,652.0,0.0,0.0,323.0,2000.0,0.0
1487,"311300,00",Caraí,MG,"2019,00",[31686000] Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A - COPANOR,526.0,,2.91,31.79,0.0,31.79,680.0,0.0,0.0
1488,"311310,00",Caranaíba,MG,"2019,00",[31131011] Prefeitura Municipal de Caranaíba - PMC | [31131040] Prefeitura Municipal de Caranaíba - PMC,1200.0,,35.0,45.0,0.0,0.0,1280.0,500.0,0.0
1489,"311320,00",Carandaí,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31132011] Prefeitura Municipal de Carandaí - PMC | [31132040] Prefeitura Municipal de Carandaí - PMC,7100.0,,79.0,1200.0,0.0,0.0,7150.0,19885.0,0.0
1490,"311330,00",Carangola,MG,"2019,00",[31133011] Serviço Municipal de Saneamento Básico e Infraestrutura - SEMASA | [31133040] PREFEITURA MUNICIPAL DE CARANGOLA - PMC,7405.0,9151.0,40.6,1077.11,90.13,1580.03,8499.0,19305.0,0.0
1491,"311340,00",Caratinga,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31134040] Secretaria de Meio Ambiente e Serviços Urbanos - PM,21058.0,25125.0,116.72,2141.1,1236.88,2611.36,21058.0,53735.0,0.0
1492,"311350,00",Carbonita,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31686000] Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A - COPANOR | [31135040] PREFEITURA MUNICIPAL DE CARBONITA - MG,2572.0,2676.0,36.19,169.54,138.36,221.18,2572.0,5381.0,0.0
1493,"311360,00",Careaçu,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31136011] Prefeitura Municipal de Careaçu - PMC | [31136040] Prefeitura Municipal de Careau - MG,1230.0,,17.4,524.0,0.0,0.0,1530.0,5030.0,0.0
1494,"311370,00",Carlos Chagas,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31686000] Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A - COPANOR,4738.0,,43.38,433.13,341.68,497.1,4890.0,9364.0,0.0
1495,"311380,00",Carmésia,MG,"2019,00",[31138011] Prefeitura Municipal de Carmésia - PMC | [31138040] SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO - SAAE,558.0,558.0,6.05,70.0,70.0,31.8,558.0,1300.0,0.0
1496,"311390,00",Carmo da Cachoeira,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31139040] PREFEITURA MUNICIPAL DE CARMO DA CACHOEIRA - PMCC,3494.0,3642.0,41.98,287.19,0.0,363.85,3494.0,7727.0,0.0
1497,"311400,00",Carmo da Mata,MG,"2019,00",[31140011] Serviço Autônomo de Água e Esgoto - SAAE | [31140040] Prefeitura Municipal - PM,3726.0,3741.0,100.0,560.8,0.0,708.87,4339.0,9006.0,0.0
1498,"311410,00",Carmo de Minas,MG,"2019,00",[31141011] Serviço Autônomo de Água e Esgoto - SAAE | [31141040] Departamento Municipal de Obras e Serviços Urbanos - DMOSU,3147.0,3378.0,30.21,360.74,0.0,545.45,3679.0,11011.0,0.0
1499,"311420,00",Carmo do Cajuru,MG,"2019,00",[31142011] Serviço Autarquico de Água e Esgoto - SAAE | [31142040] Secretaria Municipal de Meio Ambiente e Desenvolvimento Sustentável - PMCC,6785.0,8034.0,154.61,811.42,0.0,1283.76,7334.0,17284.0,0.0
1500,"311430,00",Carmo do Paranaíba,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA,11088.0,11599.0,96.69,1033.87,881.54,1399.86,11088.0,22742.0,0.0
1501,"311440,00",Carmo do Rio Claro,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA,6891.0,7127.0,62.87,588.59,588.59,742.91,6891.0,13463.0,0.0
1502,"311450,00",Carmópolis de Minas,MG,"2019,00",[31145011] Serviço de Saneamento Ambiental Municipal - SESAM | [31145040] Serviço de Saneamento Ambiental Municipal - SESAM,4678.0,5189.0,92.5,865.0,709.0,865.0,5365.0,13421.0,0.0
1503,"311455,00",Carneirinho,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31145540] Prefeitura Municipal de Carneirinho - MG,3148.0,3246.0,48.07,275.4,275.4,386.41,3148.0,6115.0,0.0
1505,"311470,00",Carvalhópolis,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31147011] Prefeitura Municipal de Carvalhópolis - PMC | [31147040] Prefeitura Municipal de Carvalhópolis - PMC,1200.0,,20.0,470.0,460.0,0.0,1220.0,2634.0,0.0
1506,"311480,00",Carvalhos,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31148040] Prefeitura Municipal de Carvalhos - PMC,1041.0,1048.0,15.7,73.69,0.0,88.05,1041.0,1544.0,0.0
1509,"311510,00",Cássia,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31151011] Prefeitura Municipal de Cássia - PMC | [31151040] Prefeitura de Cássia - PMC,7593.0,,164.0,2674.0,0.0,0.0,7626.0,14488.0,0.0
1510,"311530,00",Cataguases,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31153040] Prefeitura Municipal de Cataguases - PMC,17866.0,20978.0,142.0,1930.0,0.0,2373.43,17866.0,45551.0,0.0
1511,"311535,00",Catas Altas,MG,"2019,00",[31153511] Prefeitura Municipal de Catas Altas - PMCA | [31153540] Prefeitura Municipal de Catas Altas - PMCA,2242.0,2242.0,38.0,259.0,97.5,0.0,2686.0,4078.0,0.0
1513,"311545,00",Catuji,MG,"2019,00",[31686000] Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A - COPANOR,1033.0,,6.2,80.67,0.0,80.67,1604.0,997.0,0.0
1514,"311547,00",Catuti,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA,352.0,366.0,14.48,24.29,24.29,30.36,352.0,759.0,0.0
1515,"311550,00",Caxambu,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA,8961.0,10449.0,66.94,754.58,743.9,952.32,8961.0,18267.0,0.0
1516,"311560,00",Cedro do Abaeté,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31156011] Prefeitura Municipal de Cedro do Abaeté - PMCA | [31156040] Prefeitura Municipal de Cedro do Abaeté - PMCA,199.0,199.0,3.0,40.0,0.0,0.0,216.0,655.0,0.0
1517,"311570,00",Central de Minas,MG,"2019,00",[31157011] Serviço Autônomo de Água e Esgoto - SAAE,3040.0,3110.0,45.0,317.0,0.0,317.0,3050.0,5809.0,0.0
1518,"311580,00",Centralina,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA,1288.0,1348.0,45.12,118.17,118.17,143.24,1288.0,2860.0,0.0
1519,"311590,00",Chácara,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31159011] Prefeitura Municipal de Chácara - PMC | [31159040] Prefeitura Municipal de Chácara - PMC,968.0,,15.0,100.0,0.0,0.0,1033.0,2000.0,0.0
1520,"311600,00",Chalé,MG,"2019,00",[31160011] Prefeitura Municipal de Chalé - PMC | [31160040] PREFEITURA MUNICIPAL DE CHALÉ - PMC,1960.0,1960.0,28.0,580.0,0.0,0.0,2300.0,2294.0,0.0
1523,"311620,00",Chiador,MG,"2019,00",[31162011] Prefeitura Municipal de Chiador - PMC | [31162040] Prefeitura Municipal de Chiador - PMC,1800.0,1800.0,7.0,50.0,0.2,0.5,2000.0,1400.0,0.0
1524,"311630,00",Cipotânea,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31163011] Prefeitura Municipal de Cipotânea - PMC | [31163040] PREFEITURA MUNICIPAL DE CIPOTANEA - CIPOTÂNEA,920.0,,22.0,510.0,0.0,0.0,930.0,3124.0,0.0
1525,"311640,00",Claraval,MG,"2019,00",[31164011] Prefeitura Municipal de Claraval - PMC | [31164040] Prefeitura Municipal de Claraval - PMC,1001.0,,28.13,209.4,89.5,0.0,1125.0,1000.0,0.0
1526,"311650,00",Claro dos Poções,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA,1080.0,1112.0,19.01,63.63,63.63,84.23,1080.0,2043.0,0.0
1527,"311660,00",Cláudio,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31166040] Prefeitura Municpal de Claudio/MG - PMC,9309.0,10351.0,104.67,812.02,812.02,1032.27,9309.0,22343.0,0.0
1530,"311690,00",Comendador Gomes,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31169011] Prefeitura Municipal de Comendador Gomes - PMCG,806.0,806.0,10.0,80.0,80.0,0.0,904.0,1579.0,0.0
1531,"311700,00",Comercinho,MG,"2019,00",[31686000] Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A - COPANOR | [31170040] Prefeitura Municipal - PM,1041.0,,9.8,88.29,0.0,88.1,1119.0,2259.0,0.0
1533,"311520,00",Conceição da Barra de Minas,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31152040] Prefeitura Municipal de Conceição da Barra de Minas - PMCBM,781.0,816.0,8.46,55.6,28.75,72.26,781.0,1691.0,0.0
1534,"311730,00",Conceição das Alagoas,MG,"2019,00",[31173011] Prefeitura Municipal de Conceição das Alagoas - PMCA | [31173040] Secretaria de Serviços Urbanos - ssu,8857.0,,114.0,1850.0,0.0,1600.0,9779.0,24297.0,0.0
1535,"311720,00",Conceição das Pedras,MG,"2019,00",[31172011] Prefeitura Municipal de Conceição das Pedras - PMCP | [31172040] PREFEITURA MUNICIPAL DE CONCEIÇÃO DAS PEDRAS - PMCP,973.0,,36.0,85.0,0.0,30.0,1000.0,1400.0,0.0
1536,"311740,00",Conceição de Ipanema,MG,"2019,00",[31174011] Prefeitura Municipal de Conceição de Ipanema - PMCI | [31174040] PREFEITURA MUNICIPAL DE CONCEIÇÃO DE IPANEMA - PMCI,1090.0,1120.0,10.0,406.0,0.0,0.0,1118.0,1560.0,0.0
1537,"311750,00",Conceição do Mato Dentro,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31175040] Prefeitura Municipal de Conceição do Mato Dentro - SMMAGU,5110.0,5307.0,29.48,420.45,354.22,527.25,5110.0,8170.0,0.0
1538,"311760,00",Conceição do Pará,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31176040] Prefeitura Municipal de Conceição do Pará - PMCP,974.0,997.0,16.38,86.65,0.0,121.89,974.0,1758.0,0.0
1539,"311770,00",Conceição do Rio Verde,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31177011] Prefeitura Municipal de Conceição do Rio Verde - PMCRV | [31177040] SEC DE OBRAS e SEC DE MEIO AMBIENTE - SEC OBRAS,2800.0,2875.0,30.0,600.0,0.0,0.0,2800.0,12063.0,0.0
1540,"311780,00",Conceição dos Ouros,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31178011] Prefeitura Municipal de Conceição dos Ouros - PMCO | [31178040] Prefeitura Municipal de Conceição Dos Ouros - PMCO,4332.0,,66.0,580.0,0.0,0.0,4830.0,9100.0,0.0
1542,"311787,00",Confins,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA,1.0,1.0,4.06,156.74,156.74,251.82,1.0,0.0,0.0
1543,"311790,00",Congonhal,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31179040] PREFEITURA MUNICIPAL DE CONGONHAL - PMC,3849.0,4016.0,44.58,311.51,0.0,385.52,3849.0,8657.0,0.0
1544,"311800,00",Congonhas,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31180040] Prefeitura Municipal de Congonhas - PMC,15950.0,16851.0,139.29,1395.04,0.0,1823.18,15950.0,35295.0,0.0
1545,"311810,00",Congonhas do Norte,MG,"2019,00",[31181011] Prefeitura Municipal de Congonhas do Norte - PMCN | [31181040] PREFEITURA MUNICIPAL DE CONGONHAS DO NORTE - PMCN,532.0,532.0,5.5,79.0,0.0,0.0,541.0,1793.0,0.0
1546,"311820,00",Conquista,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31182040] Secretaria Municipal de Obras e Serviços Públicos - SMOSP,2357.0,2423.0,22.0,221.25,206.4,281.55,2357.0,4807.0,0.0
1547,"311830,00",Conselheiro Lafaiete,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31183040] SECRETARIA DE OBRAS E MEIO AMBIENTE - SMOBMA,42983.0,50272.0,362.32,3902.07,3176.52,4998.37,42983.0,95435.0,0.0
1548,"311840,00",Conselheiro Pena,MG,"2019,00",[31184011] Serviço Autônomo de Água e Esgoto - SAAE | [31184040] Serviço Autônomo de Água e Esgoto - SAAE,7488.0,7609.0,98.1,985.79,36.0,473.0,9450.0,18138.0,0.0
1549,"311850,00",Consolação,MG,"2019,00",[31185011] Prefeitura Municipal de Consolação - PMC | [31185040] Prefeitura Municipal de Consolação - PMC,483.0,486.0,4.2,40.5,0.0,36.0,597.0,981.0,0.0
1550,"311860,00",Contagem,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31186040] Departamento de Limpeza Urbana - DELU,175948.0,236736.0,1287.09,21840.4,21840.4,26976.13,175948.0,541278.0,0.0
1551,"311870,00",Coqueiral,MG,"2019,00",[31187011] Serviço Autônomo de Água e Esgoto - SAAE | [31187040] PREFEITURA MUNICIPAL DE COQUEIRAL - PMC,2677.0,2721.0,42.36,328.89,131.56,177.24,3011.0,6496.0,0.0
1552,"311880,00",Coração de Jesus,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA,2545.0,2628.0,27.6,172.16,171.07,228.25,2545.0,4759.0,0.0
1553,"311890,00",Cordisburgo,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31189040] Município de Cordisburgo - PMC,1370.0,1422.0,23.85,115.34,115.34,144.71,1370.0,3025.0,0.0
1555,"311910,00",Corinto,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA,6668.0,6955.0,93.18,553.47,553.47,705.54,6668.0,13563.0,0.0
1557,"311930,00",Coromandel,MG,"2019,00","[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31193011] Prefeitura Municipal de Coromandel - PMC | [31193040] Secretaria Municipal de  Obras, Serviços Públicos e Transporte - Semot",10120.0,,278.0,278.0,0.0,0.0,12705.0,18701.0,0.0
1558,"311940,00",Coronel Fabriciano,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31194040] Secretaria de Governança de Obras e Serviços Urbanos - SGOS,31513.0,35673.0,189.49,3310.58,0.0,3920.78,31513.0,84634.0,0.0
1559,"311950,00",Coronel Murta,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31686000] Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A - COPANOR | [31195040] Prefeitura Municipal de Coronel Murta - PMCM,1445.0,1463.0,16.78,120.01,117.68,148.17,1445.0,3241.0,0.0
1560,"311960,00",Coronel Pacheco,MG,"2019,00",[31196011] Prefeitura Municipal de Coronel Pacheco - PMCP | [31196040] Prefeitura Municipal de Coronel Pacheco - PMCP,933.0,933.0,6.5,93.95,0.0,0.0,933.0,2145.0,0.0
1561,"311970,00",Coronel Xavier Chaves,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31197011] Prefeitura Municipal de Coronel Xavier Chaves - PMCXC | [31197040] Prefeitura Municipal de Coronel Xavier Chaves - PMCXC,914.0,,10.8,107.0,0.0,0.0,914.0,1873.0,0.0
1562,"311980,00",Córrego Danta,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31198011] Prefeitura Municipal de Córrego Danta - PMCD | [31198040] Prefeitura Municipal de Córrego Danta - PMCD,535.0,,8.0,500.0,0.0,0.0,800.0,1900.0,0.0
1563,"311990,00",Córrego do Bom Jesus,MG,"2019,00",[31199011] Prefeitura Municipal de Córrego do Bom Jesus - PMCBJ | [31199040] Prefeitura Municipal de Córrego do Bom Jesus - PMCBJ,799.0,800.0,12.2,120.0,0.0,0.0,838.0,800.0,0.0
1564,"311995,00",Córrego Fundo,MG,"2019,00",[31199511] Serviço Autônomo de Água e Esgoto - SAAE | [31199540] Prefeitura Municipal de Córrego Fundo - PMCF,1396.0,1423.0,83.67,175.56,175.56,362.15,1500.0,4145.0,0.0
1565,"312000,00",Córrego Novo,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31200011] Prefeitura Municipal de Córrego Novo - PMCN,885.0,900.0,20.5,138.0,0.0,0.0,900.0,1806.0,0.0
1566,"312010,00",Couto de Magalhães de Minas,MG,"2019,00",[31686000] Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A - COPANOR | [31201040] PREFEITURA MUNICIPAL DE COUTO DE MAGALHÃES DE MINAS - PMCMM,1659.0,,20.38,191.83,0.0,191.83,1886.0,3277.0,0.0
1567,"312015,00",Crisólita,MG,"2019,00",[31686000] Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A - COPANOR | [31201540] Prefeitura Municipal de Crisólita - PMC,493.0,,5.1,43.85,25.58,43.85,661.0,1118.0,0.0
1568,"312020,00",Cristais,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31202011] Prefeitura Municipal de Cristais - PMC | [31202040] Prefeitura Municipal de Cristais - PMC,4020.0,,49.0,1726.0,1726.0,0.0,4021.0,9922.0,0.0
1569,"312030,00",Cristália,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA,722.0,783.0,14.68,42.95,40.95,55.86,722.0,1276.0,0.0
1571,"312050,00",Cristina,MG,"2019,00",[31205011] Prefeitura Municipal de Cristina - PMC | [31205040] Prefeitura Municipal de Cristina - PMC,1913.0,,43.86,800.0,0.0,0.0,1922.0,5974.0,0.0
1572,"312060,00",Crucilândia,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31206011] Prefeitura Municipal de Crucilândia - PMCRU | [31206040] Prefeitura Municipal de Crucilândia - PMCRU,1804.0,1973.0,10.15,300.0,0.0,0.0,1804.0,3152.0,0.0
1574,"312080,00",Cruzília,MG,"2019,00","[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31208040] Secretaria Municipal de Meio Ambiente, Desenvolvimento Econômico, Industrial e Agropecuário - SMMADEIA",5904.0,6120.0,55.03,444.29,0.0,566.69,5904.0,12234.0,0.0
1575,"312083,00",Cuparaque,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31208311] Prefeitura Municipal de Cuparaque - PMC | [31208340] Prefeitura Municipal de Cuparaque - PMC,1600.0,1900.0,100.0,100.0,0.0,0.0,1900.0,4136.0,0.0
1577,"312090,00",Curvelo,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31209040] Município de Curvelo - PMC,25628.0,27843.0,196.22,2250.5,2250.5,2902.08,25628.0,59203.0,0.0
1578,"312100,00",Datas,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31210011] Prefeitura Municipal de Datas - PMD | [31210040] PREFEITURA MUNICIPAL DE DATAS - PMD,1450.0,1520.0,25.0,98.0,0.0,0.0,1520.0,3206.0,0.0
1579,"312110,00",Delfim Moreira,MG,"2019,00",[31211011] Prefeitura Municipal de Delfim Moreira - PMDM | [31211040] Prefeitura Municipal de Delfim Moreira - PMDF,1607.0,,41.0,213.9,0.0,0.0,1695.0,3045.0,0.0
1580,"312120,00",Delfinópolis,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31212040] PREFEITURA MUNICIPAL DE DELFINOPOLIS - PMDELF,1865.0,1942.0,17.73,149.97,132.55,176.03,1865.0,3545.0,0.0
1581,"312125,00",Delta,MG,"2019,00",[31212511] Prefeitura Municipal de Delta - PMD | [31212540] Prefeitura Municipal de Delta - PMD,3050.0,3150.0,35.0,959.0,0.0,0.0,3250.0,9200.0,0.0
1582,"312130,00",Descoberto,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31213011] Prefeitura Municipal de Descoberto - PMD | [31213040] Prefeitura Municipal de Descoberto - PMD,1550.0,,16.0,380.0,0.0,0.0,1800.0,4264.0,0.0
1583,"312140,00",Desterro de Entre Rios,MG,"2019,00",[31214011] Prefeitura Municipal de Desterro de Entre Rios - PMDER | [31214040] PREFEITURA MUNICIPAL - PM,2088.0,2112.0,87.0,592.0,0.0,592.0,2112.0,3713.0,0.0
1584,"312150,00",Desterro do Melo,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31215040] Prefeitura municipal de Desterro do Melo - PMDM,758.0,774.0,7.39,53.29,53.29,66.43,758.0,1317.0,0.0
1585,"312160,00",Diamantina,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31686000] Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A - COPANOR | [31216040] Prefeitura Municipal - PM,15016.0,,135.34,1265.77,553.8,1591.08,15480.0,33720.0,0.0
1586,"312170,00",Diogo de Vasconcelos,MG,"2019,00",[31217011] Prefeitura Municipal de Diogo de Vasconcelos - PMDV | [31217040] Prefeitura Municipal de Diogo de Vasconcelos - PMDV,611.0,,8.66,100.0,0.0,0.0,615.0,615.0,0.0
1587,"312180,00",Dionísio,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31218011] Prefeitura Municipal de Dionísio - PMD | [31218040] PREFEITURA MUNICIPAL DE DIONÍSIO - PMD,2263.0,2263.0,15.41,796.0,0.0,0.0,2263.0,6337.0,0.0
1588,"312190,00",Divinésia,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31219011] Prefeitura Municipal de Divinésia - PMD | [31219040] Prefeitura Municipal de Divinésia - PMD,2297.0,,20.0,64.0,0.0,0.0,2397.0,2176.0,0.0
1589,"312200,00",Divino,MG,"2019,00",[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31220040] PREFEITURA MUNICIPAL DE DIVINO - PMD,4094.0,4339.0,14.47,336.44,0.0,416.97,4094.0,8743.0,0.0
1591,"312220,00",Divinolândia de Minas,MG,"2019,00",[31222011] Serviço Autônomo de Água e Esgoto de Divinolândia de Minas - SAAEDM,1308.0,1529.0,5.0,70.6,0.0,70.6,1528.0,3761.0,0.0
